Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Cyprus (European Union),England,All,2014/15,8790.000
Cyprus (European Union),England,First year,2013/14,3610.000
Cyprus (European Union),England,Other years,2013/14,5875.000
Cyprus (European Union),England,All,2013/14,9485.000
Cyprus (European Union),England,First year,2012/13,3725.000
Cyprus (European Union),England,Other years,2012/13,6480.000
Cyprus (European Union),England,All,2012/13,10205.000
Cyprus (European Union),Northern Ireland,First year,2016/17,10.000
Cyprus (European Union),Northern Ireland,Other years,2016/17,5.000
Cyprus (European Union),Northern Ireland,All,2016/17,15.000
Cyprus (European Union),Northern Ireland,First year,2015/16,0.000
Cyprus (European Union),Northern Ireland,Other years,2015/16,5.000
Cyprus (European Union),Northern Ireland,All,2015/16,5.000
Cyprus (European Union),Northern Ireland,First year,2014/15,0.000
Cyprus (European Union),Northern Ireland,Other years,2014/15,5.000
Cyprus (European Union),Northern Ireland,All,2014/15,5.000
Cyprus (European Union),Northern Ireland,First year,2013/14,5.000
Cyprus (European Union),Northern Ireland,Other years,2013/14,0.000
Cyprus (European Union),Northern Ireland,All,2013/14,5.000
Cyprus (European Union),Northern Ireland,First year,2012/13,0.000
Cyprus (European Union),Northern Ireland,Other years,2012/13,5.000
Cyprus (European Union),Northern Ireland,All,2012/13,5.000
Cyprus (European Union),Scotland,First year,2016/17,275.000
Cyprus (European Union),Scotland,Other years,2016/17,480.000
Cyprus (European Union),Scotland,All,2016/17,755.000
Cyprus (European Union),Scotland,First year,2015/16,225.000
Cyprus (European Union),Scotland,Other years,2015/16,460.000
Cyprus (European Union),Scotland,All,2015/16,685.000
Cyprus (European Union),Scotland,First year,2014/15,270.000
Cyprus (European Union),Scotland,Other years,2014/15,395.000
Cyprus (European Union),Scotland,All,2014/15,665.000
Cyprus (European Union),Scotland,First year,2013/14,315.000
Cyprus (European Union),Scotland,Other years,2013/14,275.000
Cyprus (European Union),Scotland,All,2013/14,590.000
Cyprus (European Union),Scotland,First year,2012/13,240.000
Cyprus (European Union),Scotland,Other years,2012/13,215.000
Cyprus (European Union),Scotland,All,2012/13,455.000
Cyprus (European Union),Wales,First year,2016/17,180.000
Cyprus (European Union),Wales,Other years,2016/17,255.000
